feature,group,basis,hour,rho,p,n,signed_log10p
Amp_Mean,all,interpolated,12,0.032442585161786046,0.819397603817358,52,0.08650531039803469
Amp_Mean,all,interpolated,13,0.03415008964398531,0.8100639588057509,52,0.0914806899364002
Amp_Mean,all,interpolated,14,0.05037138222487834,0.7228678335359807,52,0.14094110023385287
Amp_Mean,all,interpolated,15,0.047639375053359516,0.7373444946327468,52,0.1323295580534681
Amp_Mean,all,interpolated,16,0.04712712370869973,0.7400691322338244,52,0.13072770953210408
Amp_Mean,all,interpolated,17,0.028942200973277554,0.8386079796704035,52,0.0764410094374164
Amp_Mean,all,interpolated,18,0.030222829334927006,0.8315683469579802,52,0.08010205012834039
Amp_Mean,all,interpolated,19,0.013233159737044309,0.9258161817660111,52,0.033475232723363925
Amp_Mean,all,interpolated,20,0.02902757619738752,0.8381382746097132,52,0.07668432630279771
Amp_Mean,all,interpolated,21,0.034918466660974985,0.8058722657085159,52,0.09373379032166985
Amp_Mean,all,interpolated,22,0.048834628190898996,0.7309994924137663,52,0.13608292460435148
Amp_Mean,all,interpolated,23,0.0572014001536754,0.6871040890523463,52,0.1629774669043164
Amp_Mean,all,interpolated,24,0.0690685563049603,0.6265880407530673,52,0.20301789844971074
Amp_Mean,all,interpolated,25,0.08955861009135148,0.5277869238572703,52,0.27754137381089145
Amp_Mean,all,interpolated,26,0.11380517373858107,0.42178623606524734,52,0.3749075964752505
Amp_Mean,all,interpolated,27,0.10381627251771536,0.4639159932850321,52,0.33356065512575633
Amp_Mean,all,interpolated,28,0.12592845556219584,0.3737038756517014,52,0.42747239809518545
Amp_Mean,all,interpolated,29,0.14095449500554938,0.3189022981307185,52,0.49634235105527374
Amp_Mean,all,interpolated,30,0.165115683428669,0.24209264840334804,52,0.616018398523305
Amp_Mean,all,interpolated,31,0.17314095449500555,0.2196413661377263,52,0.6582858637050077
Amp_Mean,all,interpolated,32,0.1764705882352941,0.21076594955078892,52,0.6761995505594495
Amp_Mean,all,interpolated,33,0.20566891488090155,0.14353965729262658,52,0.8430280950000304
Amp_Mean,all,interpolated,34,0.19303338171262702,0.17034987283445083,52,0.7686581862952051
Amp_Mean,all,interpolated,35,0.19209425424741738,0.1724786732394258,52,0.7632645972111913
Amp_Mean,all,interpolated,36,0.18082472466490224,0.19954347841217732,52,0.6999624614950286
Amp_Mean,all,interpolated,37,0.174336207632545,0.21642587962180446,52,0.6646908086998051
Amp_Mean,all,interpolated,38,0.14974814308887557,0.28933207192234683,52,0.538603422947635
Amp_Mean,all,interpolated,39,0.1276359600443951,0.36720682411035543,52,0.4350892565396054
Amp_Mean,all,interpolated,40,0.13147784512934346,0.3528400489423167,52,0.45242212635336193
Amp_Mean,all,interpolated,41,0.10552377699991461,0.45655746445601464,52,0.3405045523563718
Amp_Mean,all,interpolated,42,0.09536412533082898,0.5012661791557189,52,0.29993159660686675
Amp_Mean,all,interpolated,43,0.11081704089473234,0.43415538539346465,52,0.3623548074890306
Amp_Mean,all,interpolated,44,0.10706053103389394,0.4499895606153639,52,0.34679756137961487
Amp_Mean,all,interpolated,45,0.11739093315119951,0.40721121744712074,52,0.3901802669967276
Amp_Mean,all,interpolated,46,0.16059079655084094,0.25541872420542877,52,0.5927472686974068
Amp_Mean,all,interpolated,47,0.15119952189874497,0.2846296804903202,52,0.5457198147188105
Amp_Mean,all,interpolated,48,0.14889439084777598,0.2921217498659971,52,0.5344361065145309
Amp_Mean,all,interpolated,49,0.10552377699991461,0.45655746445601464,52,0.3405045523563718
Amp_Mean,all,interpolated,50,0.0904977375565611,0.5234502789418363,52,0.281124564427773
Amp_Mean,all,interpolated,51,0.06983693332194997,0.6227471808448293,52,0.20568822982325927
Amp_Mean,all,interpolated,52,0.05822590284299496,0.6817953634415421,52,0.1663459565224989
Amp_Mean,all,interpolated,53,0.05634764791257577,0.6915394975941292,52,0.16018300991865908
Amp_Mean,all,interpolated,54,0.05353026551694697,0.7062486001907085,52,0.15104239995842153
Amp_Mean,all,interpolated,55,0.07256894049346879,0.609171778857504,52,0.21526022446001597
Amp_Mean,all,interpolated,56,0.07145906258003927,0.6146714064011018,52,0.211356989142115
Amp_Mean,all,interpolated,57,0.09177836591821052,0.5175653814026683,52,0.2860347801921303
Amp_Mean,all,interpolated,58,0.0922906172628703,0.5152207549420955,52,0.28800665035463285
Amp_Mean,all,interpolated,59,0.09271749338342013,0.5132709933200936,52,0.2896532784958649
Amp_Mean,all,interpolated,60,0.08691197814394262,0.5401031421985233,52,0.26752329608390535
Amp_Mean,all,interpolated,61,0.10526765132758474,0.45765717107711756,52,0.33945972824385046
Amp_Mean,all,interpolated,62,0.11611030478955008,0.41238282275255544,52,0.38469943295967785
Amp_Mean,all,interpolated,63,0.12003756509860837,0.3966428670167492,52,0.4016003513944928
Amp_Mean,all,interpolated,64,0.1276359600443951,0.36720682411035543,52,0.4350892565396054
Amp_Mean,all,interpolated,65,0.11628105523777,0.4116911023970736,52,0.385428519015654
Amp_Mean,all,interpolated,66,0.14804063860667632,0.29492888990926064,52,0.5302826838278427
Amp_Mean,all,interpolated,67,0.14710151114146675,0.29803691705740104,52,0.5257299376643448
Amp_Mean,all,interpolated,68,0.15188252369162467,0.28243423869291684,52,0.5490826561540126
Amp_Mean,all,interpolated,69,0.15435840519081362,0.27456929180134315,52,0.561348036461895
Amp_Mean,all,interpolated,70,0.1663109365662085,0.2386532404155327,52,0.6222326644402857
Amp_Mean,all,interpolated,71,0.14291812516007854,0.31213855645984506,52,0.505652582428811
Amp_Mean,all,interpolated,72,0.11389054896269102,0.42143580261340563,52,0.37526857215233195
BCI,all,interpolated,12,0.08341159395543413,0.5566034964548511,52,0.2544540698555895
